Date,Positive,Negative,Neutral,Count
2021-09-30,60.0,20.0,20.0,5
2021-10-01,50.0,12.5,37.5,8
2021-10-02,33.333333333333336,33.333333333333336,33.333333333333336,3
2021-10-03,100.0,0.0,0.0,1
2021-10-04,41.666666666666664,8.333333333333334,50.0,12
2021-10-05,50.0,33.333333333333336,16.666666666666668,6
2021-10-06,42.857142857142854,14.285714285714286,42.857142857142854,7
2021-10-07,50.0,25.0,25.0,4
2021-10-08,50.0,0.0,50.0,4
2021-10-09,100.0,0.0,0.0,1
2021-10-10,60.0,20.0,20.0,5
2021-10-11,0.0,100.0,0.0,1
2021-10-12,57.142857142857146,14.285714285714286,28.571428571428573,7
2021-10-13,50.0,25.0,25.0,4
2021-10-14,44.44444444444444,11.11111111111111,44.44444444444444,9
2021-10-15,42.857142857142854,14.285714285714286,42.857142857142854,7
2021-10-16,50.0,0.0,50.0,6
2021-10-17,50.0,0.0,50.0,8
2021-10-18,42.857142857142854,14.285714285714286,42.857142857142854,7
2021-10-19,62.5,0.0,37.5,8
2021-10-20,50.0,16.666666666666668,33.333333333333336,6
2021-10-21,33.333333333333336,16.666666666666668,50.0,6
2021-10-22,25.0,41.666666666666664,33.333333333333336,12
2021-10-23,50.0,12.5,37.5,8
2021-10-24,36.36363636363637,18.181818181818183,45.45454545454545,11
2021-10-25,35.714285714285715,21.428571428571427,42.857142857142854,14
2021-10-26,37.5,12.5,50.0,8
2021-10-27,50.0,0.0,50.0,8
2021-10-28,31.818181818181817,29.545454545454547,38.63636363636363,44
2021-10-29,50.0,25.0,25.0,32
2021-10-30,66.66666666666667,16.666666666666668,16.666666666666668,6
2021-10-31,66.66666666666667,16.666666666666668,16.666666666666668,6
2021-11-01,63.63636363636363,9.090909090909092,27.272727272727273,11
2021-11-02,71.42857142857143,28.571428571428573,0.0,7
2021-11-03,28.571428571428573,28.571428571428573,42.857142857142854,7
2021-11-04,66.66666666666667,16.666666666666668,16.666666666666668,6
2021-11-05,33.333333333333336,16.666666666666668,50.0,12
2021-11-06,50.0,30.0,20.0,10
2021-11-07,45.45454545454545,36.36363636363637,18.181818181818183,11
2021-11-08,50.0,21.428571428571427,28.571428571428573,14
2021-11-09,75.0,25.0,0.0,4
2021-11-10,41.666666666666664,16.666666666666668,41.666666666666664,12
2021-11-11,25.0,50.0,25.0,4
2021-11-12,70.0,20.0,10.0,10
2021-11-13,40.0,0.0,60.0,5
2021-11-14,42.857142857142854,42.857142857142854,14.285714285714286,7
2021-11-15,71.42857142857143,0.0,28.571428571428573,7
2021-11-16,71.42857142857143,21.428571428571427,7.142857142857143,14
2021-11-17,50.0,16.666666666666668,33.333333333333336,6
2021-11-18,38.888888888888886,16.666666666666668,44.44444444444444,18
2021-11-19,52.63157894736842,5.2631578947368425,42.10526315789474,19
2021-11-20,0.0,33.333333333333336,66.66666666666667,3
2021-11-21,28.571428571428573,42.857142857142854,28.571428571428573,7
2021-11-22,50.0,16.666666666666668,33.333333333333336,12
2021-11-23,100.0,0.0,0.0,7
2021-11-24,50.0,0.0,50.0,8
2021-11-25,33.333333333333336,0.0,66.66666666666667,6
2021-11-26,16.666666666666668,66.66666666666667,16.666666666666668,6
2021-11-27,33.333333333333336,0.0,66.66666666666667,3
2021-11-28,50.0,25.0,25.0,8
2021-11-29,90.0,10.0,0.0,10
2021-11-30,40.0,10.0,50.0,10
2021-12-01,25.0,50.0,25.0,8
2021-12-02,50.0,25.0,25.0,4
2021-12-03,30.0,10.0,60.0,10
2021-12-04,100.0,0.0,0.0,4
2021-12-05,60.0,20.0,20.0,5
2021-12-06,57.142857142857146,14.285714285714286,28.571428571428573,7
2021-12-07,36.36363636363637,18.181818181818183,45.45454545454545,11
2021-12-08,25.0,0.0,75.0,4
2021-12-09,57.142857142857146,28.571428571428573,14.285714285714286,7
2021-12-10,28.571428571428573,42.857142857142854,28.571428571428573,7
2021-12-11,33.333333333333336,66.66666666666667,0.0,3
2021-12-12,60.0,0.0,40.0,5
2021-12-13,50.0,12.5,37.5,8
2021-12-14,50.0,0.0,50.0,2
2021-12-15,66.66666666666667,11.11111111111111,22.22222222222222,9
2021-12-16,46.15384615384615,15.384615384615385,38.46153846153846,13
2021-12-17,40.0,20.0,40.0,5
2021-12-18,42.857142857142854,28.571428571428573,28.571428571428573,7
2021-12-19,100.0,0.0,0.0,4
2021-12-20,66.66666666666667,33.333333333333336,0.0,9
2021-12-21,62.5,12.5,25.0,8
2021-12-22,14.285714285714286,0.0,85.71428571428571,7
2021-12-23,71.42857142857143,0.0,28.571428571428573,7
2021-12-24,40.0,0.0,60.0,5
2021-12-25,50.0,0.0,50.0,4
2021-12-26,45.45454545454545,18.181818181818183,36.36363636363637,11
2021-12-27,54.54545454545455,9.090909090909092,36.36363636363637,11
2021-12-28,50.0,16.666666666666668,33.333333333333336,12
2021-12-29,58.333333333333336,25.0,16.666666666666668,12
2021-12-30,46.15384615384615,7.6923076923076925,46.15384615384615,13
2021-12-31,38.46153846153846,7.6923076923076925,53.84615384615385,13
2022-01-01,50.0,0.0,50.0,12
2022-01-02,50.0,12.5,37.5,8
2022-01-03,56.25,12.5,31.25,16
2022-01-04,72.72727272727273,0.0,27.272727272727273,11
2022-01-05,61.53846153846154,7.6923076923076925,30.76923076923077,13
2022-01-06,100.0,0.0,0.0,5
2022-01-07,66.66666666666667,8.333333333333334,25.0,12
2022-01-08,63.63636363636363,18.181818181818183,18.181818181818183,11
2022-01-09,75.0,25.0,0.0,4
2022-01-10,63.63636363636363,9.090909090909092,27.272727272727273,11
