Date,Positive,Negative,Neutral,Count
2021-09-30,28.571428571428573,28.571428571428573,42.857142857142854,7
2021-10-01,54.54545454545455,18.181818181818183,27.272727272727273,11
2021-10-02,25.0,25.0,50.0,4
2021-10-03,100.0,0.0,0.0,1
2021-10-04,50.0,0.0,50.0,10
2021-10-05,40.0,20.0,40.0,5
2021-10-06,60.0,0.0,40.0,10
2021-10-07,62.5,0.0,37.5,8
2021-10-08,85.71428571428571,0.0,14.285714285714286,7
2021-10-09,75.0,0.0,25.0,4
2021-10-10,60.0,40.0,0.0,5
2021-10-11,100.0,0.0,0.0,2
2021-10-12,39.130434782608695,30.434782608695652,30.434782608695652,23
2021-10-13,40.0,20.0,40.0,5
2021-10-14,46.666666666666664,0.0,53.333333333333336,15
2021-10-15,42.857142857142854,14.285714285714286,42.857142857142854,7
2021-10-16,80.0,0.0,20.0,5
2021-10-17,55.55555555555556,0.0,44.44444444444444,9
2021-10-18,60.869565217391305,4.3478260869565215,34.78260869565217,23
2021-10-19,50.0,14.285714285714286,35.714285714285715,14
2021-10-20,60.0,10.0,30.0,10
2021-10-21,40.0,30.0,30.0,10
2021-10-22,50.0,20.0,30.0,10
2021-10-23,25.0,0.0,75.0,8
2021-10-24,80.0,0.0,20.0,10
2021-10-25,40.0,20.0,40.0,10
2021-10-26,44.44444444444444,0.0,55.55555555555556,9
2021-10-27,28.571428571428573,14.285714285714286,57.142857142857146,14
2021-10-28,37.93103448275862,20.689655172413794,41.37931034482759,29
2021-10-29,50.0,20.0,30.0,30
2021-10-30,62.5,12.5,25.0,8
2021-10-31,71.42857142857143,14.285714285714286,14.285714285714286,7
2021-11-01,66.66666666666667,11.11111111111111,22.22222222222222,9
2021-11-02,30.76923076923077,30.76923076923077,38.46153846153846,13
2021-11-03,16.666666666666668,50.0,33.333333333333336,6
2021-11-04,45.45454545454545,45.45454545454545,9.090909090909092,11
2021-11-05,44.44444444444444,22.22222222222222,33.333333333333336,9
2021-11-06,25.0,0.0,75.0,4
2021-11-07,28.571428571428573,42.857142857142854,28.571428571428573,7
2021-11-08,71.42857142857143,7.142857142857143,21.428571428571427,14
2021-11-09,55.0,10.0,35.0,20
2021-11-10,50.0,12.5,37.5,8
2021-11-11,66.66666666666667,33.333333333333336,0.0,3
2021-11-12,55.55555555555556,22.22222222222222,22.22222222222222,9
2021-11-13,50.0,25.0,25.0,4
2021-11-14,25.0,75.0,0.0,4
2021-11-15,42.857142857142854,0.0,57.142857142857146,7
2021-11-16,58.333333333333336,8.333333333333334,33.333333333333336,12
2021-11-17,46.666666666666664,0.0,53.333333333333336,15
2021-11-18,46.808510638297875,25.53191489361702,27.659574468085108,47
2021-11-19,75.0,10.0,15.0,20
2021-11-20,50.0,8.333333333333334,41.666666666666664,12
2021-11-21,40.0,30.0,30.0,10
2021-11-22,63.63636363636363,9.090909090909092,27.272727272727273,22
2021-11-23,62.5,12.5,25.0,8
2021-11-24,62.5,0.0,37.5,16
2021-11-25,40.0,20.0,40.0,5
2021-11-26,30.76923076923077,46.15384615384615,23.076923076923077,13
2021-11-27,14.285714285714286,0.0,85.71428571428571,7
2021-11-28,66.66666666666667,22.22222222222222,11.11111111111111,9
2021-11-29,50.0,10.0,40.0,10
2021-11-30,40.74074074074074,25.925925925925927,33.333333333333336,27
2021-12-01,44.44444444444444,14.814814814814815,40.74074074074074,27
2021-12-02,42.30769230769231,26.923076923076923,30.76923076923077,26
2021-12-03,50.0,10.0,40.0,10
2021-12-04,66.66666666666667,0.0,33.333333333333336,9
2021-12-05,40.0,20.0,40.0,10
2021-12-06,18.75,25.0,56.25,16
2021-12-07,43.18181818181818,15.909090909090908,40.90909090909091,44
2021-12-08,64.51612903225806,3.225806451612903,32.25806451612903,31
2021-12-09,73.91304347826087,8.695652173913043,17.391304347826086,23
2021-12-10,62.5,9.375,28.125,32
2021-12-11,50.0,11.11111111111111,38.888888888888886,18
2021-12-12,40.0,0.0,60.0,10
2021-12-13,43.24324324324324,27.027027027027028,29.72972972972973,37
2021-12-14,47.61904761904762,4.761904761904762,47.61904761904762,21
2021-12-15,46.666666666666664,13.333333333333334,40.0,15
2021-12-16,44.44444444444444,22.22222222222222,33.333333333333336,18
2021-12-17,61.53846153846154,15.384615384615385,23.076923076923077,13
2021-12-18,60.0,10.0,30.0,10
2021-12-19,60.0,20.0,20.0,5
2021-12-20,50.0,16.666666666666668,33.333333333333336,6
2021-12-21,57.142857142857146,28.571428571428573,14.285714285714286,7
2021-12-22,20.0,26.666666666666668,53.333333333333336,15
2021-12-23,27.272727272727273,27.272727272727273,45.45454545454545,11
2021-12-24,40.0,0.0,60.0,5
2021-12-25,0.0,0.0,100.0,1
2021-12-26,42.857142857142854,14.285714285714286,42.857142857142854,7
2021-12-27,50.0,4.545454545454546,45.45454545454545,22
2021-12-28,47.61904761904762,19.047619047619047,33.333333333333336,21
2021-12-29,50.0,0.0,50.0,8
2021-12-30,75.0,0.0,25.0,4
2021-12-31,50.0,20.0,30.0,10
2022-01-01,62.5,12.5,25.0,8
2022-01-02,50.0,16.666666666666668,33.333333333333336,6
2022-01-03,66.66666666666667,6.349206349206349,26.984126984126984,63
2022-01-04,65.38461538461539,3.8461538461538463,30.76923076923077,26
2022-01-05,50.0,25.0,25.0,8
2022-01-06,50.0,0.0,50.0,8
2022-01-07,50.0,16.666666666666668,33.333333333333336,18
2022-01-08,60.0,20.0,20.0,5
2022-01-09,64.28571428571429,7.142857142857143,28.571428571428573,14
2022-01-10,35.714285714285715,7.142857142857143,57.142857142857146,14
