,Date,Open,High,Low,Close,Adj Close,Volume,Stock Name,Positive,Negative,Neutral,Count
0,2021-09-30,165.8000030517578,166.3925018310547,163.69949340820312,164.2519989013672,164.2519989013672,56848000,AMZN,60.0,20.0,20.0,5
1,2021-10-01,164.45050048828125,165.45849609375,162.7969970703125,164.16299438476562,164.16299438476562,56712000,AMZN,50.0,12.5,37.5,8
2,2021-10-04,163.96949768066406,163.99949645996094,158.8125,159.48899841308594,159.48899841308594,90462000,AMZN,41.666666666666664,8.333333333333334,50.0,12
3,2021-10-05,160.22500610351562,163.0364990234375,160.1230010986328,161.0500030517578,161.0500030517578,65384000,AMZN,50.0,33.333333333333336,16.666666666666668,6
4,2021-10-06,160.67649841308594,163.2169952392578,159.93099975585938,163.10049438476562,163.10049438476562,50660000,AMZN,42.857142857142854,14.285714285714286,42.857142857142854,7
5,2021-10-07,164.57699584960938,166.28750610351562,164.1529998779297,165.1215057373047,165.1215057373047,48182000,AMZN,50.0,25.0,25.0,4
6,2021-10-08,165.85000610351562,166.07150268554688,164.41000366210938,164.43099975585938,164.43099975585938,39964000,AMZN,50.0,0.0,50.0,4
7,2021-10-11,163.75,164.62950134277344,161.90499877929688,162.31500244140625,162.31500244140625,40684000,AMZN,0.0,100.0,0.0,1
8,2021-10-12,162.85000610351562,163.37649536132812,161.81399536132812,162.3665008544922,162.3665008544922,36392000,AMZN,57.142857142857146,14.285714285714286,28.571428571428573,7
9,2021-10-13,163.48550415039062,164.41900634765625,163.05450439453125,164.21400451660156,164.21400451660156,48402000,AMZN,50.0,25.0,25.0,4
10,2021-10-14,165.12249755859375,165.6300048828125,164.53900146484375,164.9929962158203,164.9929962158203,42190000,AMZN,44.44444444444444,11.11111111111111,44.44444444444444,9
11,2021-10-15,165.5709991455078,170.52099609375,165.1999969482422,170.4510040283203,170.4510040283203,103598000,AMZN,42.857142857142854,14.285714285714286,42.857142857142854,7
12,2021-10-18,169.41799926757812,172.45849609375,169.2550048828125,172.33700561523438,172.33700561523438,63482000,AMZN,42.857142857142854,14.285714285714286,42.857142857142854,7
13,2021-10-19,171.71449279785156,172.7344970703125,171.10000610351562,172.20750427246094,172.20750427246094,47722000,AMZN,62.5,0.0,37.5,8
14,2021-10-20,172.63299560546875,173.14300537109375,170.01849365234375,170.7530059814453,170.7530059814453,42796000,AMZN,50.0,16.666666666666668,33.333333333333336,6
15,2021-10-21,170.71249389648438,172.01400756835938,170.14999389648438,171.75050354003906,171.75050354003906,37628000,AMZN,33.333333333333336,16.666666666666668,50.0,6
16,2021-10-22,171.0500030517578,171.49200439453125,166.56500244140625,166.77749633789062,166.77749633789062,62782000,AMZN,25.0,41.666666666666664,33.333333333333336,12
17,2021-10-25,166.75,167.38999938964844,164.88499450683594,166.01849365234375,166.01849365234375,44520000,AMZN,35.714285714285715,21.428571428571427,42.857142857142854,14
18,2021-10-26,167.47549438476562,170.80599975585938,167.19900512695312,168.80349731445312,168.80349731445312,53966000,AMZN,37.5,12.5,50.0,8
19,2021-10-27,169.39999389648438,171.85000610351562,168.57249450683594,169.62449645996094,169.62449645996094,54044000,AMZN,50.0,0.0,50.0,8
20,2021-10-28,170.10499572753906,173.9499969482422,169.3000030517578,172.32850646972656,172.32850646972656,114174000,AMZN,31.818181818181817,29.545454545454547,38.63636363636363,44
21,2021-10-29,165.00100708007812,168.74099731445312,163.66600036621094,168.6215057373047,168.6215057373047,129722000,AMZN,50.0,25.0,25.0,32
22,2021-11-01,168.08999633789062,168.79299926757812,164.6009979248047,165.90550231933594,165.90550231933594,72178000,AMZN,63.63636363636363,9.090909090909092,27.272727272727273,11
23,2021-11-02,165.75050354003906,166.55599975585938,164.17750549316406,165.6374969482422,165.6374969482422,52552000,AMZN,71.42857142857143,28.571428571428573,0.0,7
24,2021-11-03,165.4499969482422,169.74600219726562,164.87600708007812,169.1999969482422,169.1999969482422,67944000,AMZN,28.571428571428573,28.571428571428573,42.857142857142854,7
25,2021-11-04,168.5,174.93150329589844,168.25,173.85000610351562,173.85000610351562,107060000,AMZN,66.66666666666667,16.666666666666668,16.666666666666668,6
26,2021-11-05,173.85000610351562,178.3125,173.8489990234375,175.94949340820312,175.94949340820312,99940000,AMZN,33.333333333333336,16.666666666666668,50.0,12
27,2021-11-08,176.16200256347656,178.9499969482422,174.39300537109375,174.44900512695312,174.44900512695312,61480000,AMZN,50.0,21.428571428571427,28.571428571428573,14
28,2021-11-09,175.7624969482422,179.68850708007812,175.07150268554688,178.81149291992188,178.81149291992188,85898000,AMZN,75.0,25.0,0.0,4
29,2021-11-10,178.19349670410156,180.2725067138672,173.1544952392578,174.1024932861328,174.1024932861328,80548000,AMZN,41.666666666666664,16.666666666666668,41.666666666666664,12
30,2021-11-11,175.64999389648438,177.16200256347656,173.37350463867188,173.625,173.625,45288000,AMZN,25.0,50.0,25.0,4
31,2021-11-12,174.25,177.0364990234375,172.3524932861328,176.25750732421875,176.25750732421875,53788000,AMZN,70.0,20.0,10.0,10
32,2021-11-15,176.85000610351562,179.69400024414062,176.29049682617188,177.28399658203125,177.28399658203125,58594000,AMZN,71.42857142857143,0.0,28.571428571428573,7
33,2021-11-16,176.9499969482422,178.8249969482422,176.25750732421875,177.03500366210938,177.03500366210938,44342000,AMZN,71.42857142857143,21.428571428571427,7.142857142857143,14
